MOEDA|SALDO|DATA
ltc|3.0991|2021-02-07 15:06:00.869050
BRL|7145.3|2021-02-07 15:06:00.890629
ltc|3.0991|2021-02-07 15:24:57.902851
BRL|7145.3|2021-02-07 15:24:57.924770
ltc|3.0991|2021-02-07 16:25:17.676139
BRL|7145.3|2021-02-07 16:25:17.679384
ltc|3.0991|2021-02-07 17:25:31.639272
BRL|7145.3|2021-02-07 17:25:31.641267
ltc|3.0991|2021-02-07 18:25:55.139728
BRL|7145.44|2021-02-07 18:25:55.141724
ltc|3.0991|2021-02-07 19:26:09.059198
BRL|7145.44|2021-02-07 19:26:09.061193
ltc|2.3295|2021-02-07 21:14:38.760879
BRL|2692.05|2021-02-07 21:14:38.765099
ltc|2.3295|2021-02-07 21:35:27.087344
BRL|2692.05|2021-02-07 21:35:27.091345
ltc|2.3295|2021-02-07 21:45:04.299277
BRL|2692.05|2021-02-07 21:45:04.306261
ltc|2.3295|2021-02-07 21:54:07.376102
BRL|2692.05|2021-02-07 21:54:07.380091
ltc|2.3295|2021-02-07 22:05:39.981817
BRL|2692.05|2021-02-07 22:05:40.014967
ltc|3.099|2021-02-08 22:12:25.799754
BRL|7145.44|2021-02-08 22:12:25.823686
btc|0.0057|2021-02-08 22:27:39.703327
BRL|5653.39|2021-02-08 22:27:41.446213
btc|0.0057|2021-02-08 22:30:39.470132
BRL|5653.39|2021-02-08 22:30:39.471128
btc|0.0057|2021-02-08 22:38:47.806182
BRL|5656.8|2021-02-08 22:38:47.807181
ltc|2.0451|2021-02-08 22:41:11.344910
btc|0.0057|2021-02-08 22:41:15.780710
xrp|1009.739|2021-02-08 22:41:19.268796
BRL|5656.8|2021-02-08 22:41:19.270790
ltc|2.0451|2021-02-08 22:58:31.651907
BRL|5657.69|2021-02-08 22:58:31.654899
ltc|2.0451|2021-02-08 22:59:31.083483
BRL|5657.69|2021-02-08 22:59:31.084476
ltc|2.0451|2021-02-08 23:03:08.969800
BRL|5657.69|2021-02-08 23:03:08.970798
btc|0.0057|2021-02-08 23:14:18.512001
BRL|5657.69|2021-02-08 23:14:18.512001
btc|0.0057|2021-02-08 23:28:45.001734
BRL|6207.69|2021-02-08 23:28:45.002732
btc|0.0057|2021-02-08 23:33:06.740303
BRL|6207.69|2021-02-08 23:33:06.742299
btc|0.0057|2021-02-08 23:38:51.477530
BRL|6210.98|2021-02-08 23:38:51.482515
btc|0.0057|2021-02-08 23:39:14.621212
BRL|6210.98|2021-02-08 23:39:14.623210
btc|0.0057|2021-02-08 23:54:36.608067
BRL|6210.98|2021-02-08 23:54:36.610062
btc|0.0057|2021-02-09 00:03:43.757491
BRL|6221.08|2021-02-09 00:03:43.759486
